source_file,status,title,classification,employer,location,employment_type,salary_compensation,experience,required_education,date_closed,date_other,description,duties,required_skills_qualifications,desired_skills_qualifications,required_physical,benefits
asu-neon-coll-mgr-invert-2024.pdf,ok,Invertebrate Collections Manager,Not specified,"Arizona State University (ASU), School of Life Sciences","Tempe, Arizona, USA; on-site",Full-time,"$62,000 - $70,000 per year; DOE",Four years related research experience with a Bachelor's degree; OR two years related research experience with a Master's degree; OR any equivalent combination of experience and/or education,"Bachelor's degree in a field appropriate to the area of assignment AND four years related research experience; OR, Master's degree in a field appropriate to the area of assignment AND two years related research experience; OR, Any equivalent combination of experience and/or education from which comparable knowledge, skills and abilities have been achieved.",2024-02-13,Not specified,"Arizona State University (ASU) School of Life Sciences is seeking an Invertebrate Collections Manager (ASU position title: Research Specialist Sr.) for the National Ecological Observatory Network (NEON) Biorepository. Fully initiated in 2019, NEON is expected to run for 30 years. For each project year, the NEON Biorepository at ASU receives, processes, stores, and makes available for research an average of 80,000-100,000 samples collected by NEON from 81 sites across the United States. We facilitate this with a data portal to support discovery and tracking of sample occurrences and sample data linkages, sample transactions, and research use. The invertebrate collections manager will play a critical role in providing and refining these services to benefit the greater NEON research community.","Working in close collaboration with informaticians, collection managers, researchers and students affiliated with the NEON Biorepository. | Leading the management of the invertebrate collections, with an annual intake of more than 20,000 pinned, ethanol-preserved, and slide-mounted terrestrial and aquatic invertebrate samples. | Contributions to the design and implementation of new collections infrastructure; | Management of collections spaces, materials, and equipment, including laboratory chemical inventories and hazardous waste; | Receiving, processing, and maintenance of samples and sample data according to best practices, including the development of and adherence to standard operating procedures; | Comprehensive and frequent research loan facilitation activities; | Re-/identification of specimens and improvement of taxonomic information; | Standard-compliant specimen digitization and imaging; | Training and mentoring of undergraduate students and volunteers; | Increasing the research use of and public engagement with NEON invertebrate samples. | Producing taxonomic identification resources and other openly accessible biodiversity data products for NEON invertebrates.","Advanced knowledge of invertebrate and/or insect systematics and modern collection curation practices | Experience in: specimen collecting, storage, preparation, curation; loan management; species-level identification using primary literature sources; standard-compliant digitization using shared biodiversity data platforms; and high-resolution specimen imaging | Excellent communication, organization, problem-solving, and mentoring skills","Evidence of an undergraduate or graduate degree with specialization in invertebrate or insect systematics and biodiversity. | Well-documented experience in the curation and standard-compliant digitization of invertebrate research collections. | Demonstrated knowledge of biodiversity data science, standards, data workflows, quality control, publication processes, specific software platforms, and other relevant training, should be clearly stated in the application, with references to published products where available. | Experience in invertebrate or insect classification and identification, and/or a high motivation to become deeply immersed in ground beetle, mosquito, and arthropod systematics, are sought. | Evidence of having a commitment to make the full diversity of NEON invertebrate samples accessible for a wide range of research applications is essential. | Experience in interpersonal skills and enthusiasm towards student mentoring and outreach. | Evidence of adaptability to meet new challenges | Evidence of effective communication skills. | A strong background in ecology is desired. | Experience in the creation of interactive on-line identification keys, regional checklists, or other systematic products is advantageous. | Taxonomic or ecological expertise in carabids, culicids, or invertebrates commonly collected via pitfall trapping or aquatic sampling is sought.",Not specified,Healthy work environment and work-life balance | Position located in ASU's newly renovated Natural History Collections facility | Spaces dedicated to student training and public education | Shared attribution of research and outreach outcomes | Relocation assistance resources available
asu-symbiota-portal-infrastructure-mgr-2021.pdf,ok,Biodiversity Data Systems Administrator and Programmer,Not specified,"Arizona State University, School of Life Sciences / Biodiversity Knowledge Integration Center (BioKIC)","Tempe, AZ (remote work also available)","Full-time, academic-year (9 month)",Not specified,Two years of systems and/or applications programming experience (required),"Bachelor's degree in Computer Science, or related science or engineering field",Not specified,2021-10-04 (estimated from application review start date stated in posting),"The Arizona State University School of Life Sciences and Biodiversity Knowledge Integration Center (BioKIC) are seeking an Assistant Research Professional who will serve as the Biodiversity Data Systems Administrator and Programmer for the iDigBio Phase 3 project. iDigBio, the Integrated Digitized Biocollections, supports the National Science Foundation's Advancing Digitization of Biodiversity Collections and related programs. The iDigBio Phase 3 project will extend from 2021-2026 to facilitate the digitization, use, and impact of biocollections data for more than 1,600 collections. BioKIC will provide a Symbiota Support Hub serving all Thematic Collections Networks and portals that make use of the Symbiota software platform.","Develop and sustain the Symbiota Support Hub portal infrastructure and services | Coordinate activities with members of the ASU Symbiota team and the greater iDigBio network | Perform routine of VM server management duties, including: Software installations and updates, expansion, and access permissions; Server security provision, SSL certificates, monitoring and regulating access, and resolving security issues; MySQL/MariaDB database management, installations, optimization, native and advanced indexing (Solr, Elasticsearch), and custom data manipulations; Troubleshooting of VM server- and database-related performance issues; Updates of the Symbiota code version and propagation of new Symbiota functions or modules across all indicated portals | Install and manage an image server, including the provision of robust services for collections to submit production-quality images | Perform custom (non-Symbiota) scripting to sustain localized portal functions | Provide technical assistance to the Symbiota Support Hub team, including software developers, portal data managers, and portal community managers","Bachelor's degree in Computer Science, or related science or engineering field, and two years of systems and/or applications programming experience | Well-documented, broad range of IT infrastructure management and informatics skills; ranging from systems administration to relational database optimization and custom scripting","Familiarity with research- and production-grade IT infrastructure systems and programming | Ability to develop and integrate back-end sections of the IT infrastructure with other software development, portal data management, and front-facing services | Experience in virtualization and cloud technologies, system automation, multiple operating systems, programming and scripting, source code version control, open source relational database management systems, distributed storage and filesystems, RESTful web services and APIs, web application development, writing documentation, and preparing and presenting materials for conferences and workshops | Familiarity with biodiversity data science will be beneficial but is not required, as long as candidates are open to acquire these skills through on-the-project mentorship | Applicants with an interest in contributing to future Symbiota software development, facilitated through related awards and Summer salary, will receive strong consideration",Not specified,Benefits eligible position | Ability to make themselves available for additional summer salary through other funded projects | Option to work remotely
asu-symbiota-software-eng-2023.pdf,ok,Software Engineer,Not specified,Arizona State University (ASU) – School of Life Sciences / Biodiversity Knowledge Integration Center (BioKIC),"Tempe, Arizona (remote work also permitted)",Part-time,"$30,000 - $36,000; DOE",Not specified,"Bachelor's degree in Computer Science or related field; OR any equivalent combination of experience and/or education from which comparable knowledge, skills and abilities have been achieved.",2023-01-17,Not specified,"The Arizona State University (ASU) School of Life Sciences and Biodiversity Knowledge Integration Center (BioKIC) are seeking a Software Engineer to develop new services for the domain of biodiversity data management and publication. BioKIC is the leading developer and service provider for the Symbiota software platform (https://symbiota.org/), which currently serves more than 1,700 natural history collections and 90 million specimen records through 50 specialized portals and user communities, with functions ranging from basic data management to global data aggregation. This is an entry-level position and well-suited for candidates with a strong general or scientific software engineering training background and a desire to learn and contribute to an open source, rapidly growing, biodiversity data-focused software project.","Closely coordinates activities with members of the Symbiota team at ASU; including IT systems managers, software and portal developers, and project and community managers. | Contributes to the overall development and maintenance of the Symbiota software, documentation and web portal infrastructure at ASU. | Leads or contributes to the development, documentation, testing and implementation of the Symbiota open source code base; including new portal/data configurations and new or upgraded functional software components (modules). | Possible development tasks or domains of application may include: Development of functions to improve the front-end login authentication and other user experiences (web development). | Developmental enhancement of the data model and diversity (including images and other media), data quality, usability, interconnectivity, storage (including integration with Digital Asset Management systems), and standard-compliant data publication and aggregation (e.g. via Application Programming Interfaces). | Custom configuration of client-specific Symbiota portals; including software installation and updates, optimizations, data population, indexing, and custom data manipulations. | Contribute to troubleshooting of portal performance issues, updates of Symbiota code versions and the propagation of new Symbiota functions or modules across all indicated portals. | Contributes, in a supporting role, to portal manager and user community training.","Bachelor's degree in Computer Science or related field; OR any equivalent combination of experience and/or education from which comparable knowledge, skills and abilities have been achieved.","Familiarity with web application development. | Demonstrated ability to develop and integrate back-end sections of the IT infrastructure with software development, portal data management, and front-facing services. | Experience in multiple operating systems (e.g. Linux, Windows), programming and scripting (e.g. Bash, JavaScript, PHP, HTML, CSS), source code version control (GitHub), querying open source relational database management systems using SQL, distributed storage and filesystems, RESTful web services and APIs, writing documentation, and contributing to materials for conferences and workshops. | Familiarity with the set-up and maintenance of application services (e.g. Apache, MySQL) is beneficial. | Familiarity with biodiversity data science is beneficial but is not required, as long as candidates are open to acquiring these skills through on-the-project mentorship.","Activities are primarily performed in a regular, climate controlled office setting subject to extended periods of being stationary and moving between office spaces. | Position requires use of a computer (desktop and/or laptop). | Position requires the use of diverse communication methods/technologies to effectively communicate with the broader team.",Not specified
auburn-collmrg-2022.pdf,ok,"Curator, Natural Sciences (Collections Manager)",Not specified,Auburn University,"Auburn University, Alabama, USA — on-site",Full-time,"$31,300 - $65,500",Level I: 0 years required | Level II: 2 years required | Level III: 4 years required,Bachelor's Degree from an accredited institution in Biology or related field. Indicated education is required; no substitutions allowed.,2022-03-14,Not specified,The Auburn University Museum of Natural History (AUMNH) is seeking a Curator (Collections Manager) for its Terrestrial Invertebrate Collection. Our collections are currently strong in Alabama insects.,Sorting and identifying collections | Maintaining existing collections | Processing loans of materials | Maintaining the computer database | Contributing to AUMNH outreach and education efforts,"Knowledge of a wide variety of terrestrial arthropods collections | Knowledge of fundamental concepts, practices and procedures in the procurement and maintenance of collections for exhibition | Excellent written and interpersonal communication skills | A commitment to building an inclusive and diverse community | Experience working with database programs, particularly Specify | Committed to the open presentation of collections data on the internet",A Masters Degree or Ph.D. in Biology or related field from an accredited institution.,Not specified,Not specified
auburn-curator-collmgr-2021.pdf,ok,"Curator (Collections Manager), Natural Sciences",Not specified,Auburn University – Auburn University Museum of Natural History (AUMNH),"Auburn University, Alabama, USA – on-site",Full-time,"$31,300 - $65,500",Level I: 0 years required | Level II: 2 years required | Level III: 4 years required,Bachelor's Degree from an accredited institution in Biology or related field. Indicated education is required; no substitutions allowed.,2022-03-14,Not specified,The Auburn University Museum of Natural History (AUMNH) is seeking a Curator (Collections Manager) for its Terrestrial Invertebrate Collection. Our collections are currently strong in Alabama insects.,Sorting and identifying collections | Maintaining existing collections | Processing loans of materials | Maintaining the computer database | Contributing to AUMNH outreach and education efforts,"Knowledge of a wide variety of terrestrial arthropods collections | Knowledge of fundamental concepts, practices and procedures in the procurement and maintenance of collections for exhibition | Experience working with database programs, particularly Specify | Commitment to the open presentation of collections data on the internet | Excellent written and interpersonal communication skills | A commitment to building an inclusive and diverse community",A Masters Degree or Ph.D. in Biology or related field from an accredited institution,Not specified,Not specified
asu-vertebrate-coll-mgr-2020.pdf,ok,Vertebrate Collections Manager,Not specified,"Arizona State University, School of Life Sciences","Tempe, Arizona, USA; on-site",Full-time,"$44,000 - $52,000 per year; DOE",Two years related research experience (with Bachelor's degree); OR six years research experience appropriate to the area of assignment; OR any equivalent combination. Desired: 2 years curatorial experience in vertebrate research collections and supervisory/mentoring roles.,"Bachelor's degree in a field appropriate to the area of assignment AND two years related research experience; OR, Six years research experience appropriate to the area of assignment; OR, Any equivalent combination of experience and/or education from which comparable knowledge, skills and abilities have been achieved.",2020-03-13,Not specified,"The School of Life Sciences at Arizona State University is seeking a full-time Research Specialist who will act as Vertebrate Collections Manager. The position is part of a dynamic, collaborative Biocollections and biodiversity data science group of faculty, staff, students, volunteers, and other researchers that recently relocated into a unified, 28,000 sq. ft. facility. The ASU Vertebrate Collections focus mainly on documenting vertebrate diversity in the Southwest U.S. and Sonoran Desert Region. The successful candidate will work in close collaboration with curators, collection managers, students, and researchers affiliated with the Biocollections and the School of Life Sciences. Contributing to our diverse biodiversity/data learning programs is strongly encouraged.","Comprehensive management of the ASU Vertebrate Collections, including physical and digital data holdings. | Specimen-level curation and coordination of regular collection/research activities involving organization and conservation, information quality, growth, exchanges and loans, and other collection activities. | Additional shared responsibility for co-managing BioKIC's vertebrate related Symbiota portals and digital data holdings; including digitization of primary data, data quality, images, workflows, and other data curation tasks. | Good working knowledge of the Symbiota platform or willingness to learn, along with other software/data management and publication tools, will be necessary. | Regular coordination of vertebrate collections and sample management tasks with the NEON Biorepository personnel and infrastructure. | Active participation in diverse, vertebrate-focused, in-person or online learning and outreach activities; including mentoring of under-/graduate students and contributing volunteers.","Bachelor's degree in a field appropriate to the area of assignment AND two years related research experience; OR, Six years research experience appropriate to the area of assignment; OR, Any equivalent combination of experience and/or education from which comparable knowledge, skills and abilities have been achieved. | Good working knowledge of the Symbiota platform or willingness to learn, along with other software/data management and publication tools.","Evidence of a Master's or Doctoral degree in Vertebrate Biology, or a related field with a focus on systematics, evolution, ecology, conservation, or vertebrate diversity documentation and forecasting using modern informatics tools. | Evidence of advanced, research-level expertise in vertebrate groups. | Evidence of curatorial skills that include specialized vertebrate specimen and sample preparation methods such as taxidermy. | Curatorial experience in vertebrate research collections, and experience in supervisory roles and under-/graduate student mentoring.(2 years) | Evidence of effective verbal and written communication skills. | Experience in contemporary biodiversity data standards and tools. | Experience in collections-centered teaching and outreach activities is highly valued.","Activities are performed in an office, lab setting and in the field subject to extended periods of field work, sitting, keyboarding, and manipulating a computer mouse; required to stand for varying lengths of. | May be required to wear personal protective equipment before entering laboratories such as lab coat, gloves, safety glasses, closed toe shoes, and respirator. | Frequent bending, reaching, lifting, pushing and pulling up to 25 pounds. | Ability to clearly communicate to perform essential functions.",Not specified
australia-mus-mgr-coll-db-2021.pdf,ok,Manager Collections Database,Not specified,Australian Museum Trust,"Sydney City, Sydney Region, NSW, Australia — on-site","Part-time (4 days per week), Temporary","Clerk Grade 5/6 ($87,493 - $96,540) with a total remuneration package up to $107,497 per annum",Not specified,Tertiary degree or equivalent experience in information technology or relevant discipline,2021-11-11,Not specified,"We are seeking to backfill the role of Manager Collections Database (EMu) in a Temporary capacity 4 days per week until 30 September 2022. The Database Manager is responsible for the technical management of the digital collection management system, ensuring it integrates with AM IT and Digital infrastructure, and oversees data standards for data capture, storage and access to achieve project outcomes and support the achievement of Australian Museum objectives.","Technical management of the digital collection management system, ensuring it integrates with AM IT and Digital infrastructure | Oversee data standards for data capture, storage and access to achieve project outcomes | Oversee ongoing system updates | Establishment of a new online web-based search tool | Support for Sapphire (the web based EMu plug in for rapid data entry, etc) | Replacing/developing EMu reports using Crystal | Maintain the interface between Fotoware, EMu and the new IMu system as part of the Online Collections Access portal development","Tertiary degree or equivalent experience in information technology or relevant discipline | Demonstrated advanced skills, experience and expertise in database manipulation and management preferably in a Museum or natural history context | Demonstrated experience in managing a database environment including databasing and data import, data reporting and access, and creating and implementing data standards | Demonstrated experience with managing large datasets preferably of a taxonomic and/or ecological nature | Expert knowledge and extensive experience in the administration and technical maintenance of EMu, and use of IMu, Axiell Sapphire, Crystal reports and awareness of Linux and Fotoware | Expert knowledge and extensive experience in developing, maintaining and modifying multi-disciplinary museum collection management databases for collection management, including audit and valuation, exhibition and conservation related processes and online products | Highly developed problem-solving and analytical skills and proven experience in responding to problems experienced by business system users | Proven ability to prepare technical specifications and user documentation | Demonstrated ability to work in a team and to work collaboratively | Excellent interpersonal and communication skills",Not specified,Not specified,Not specified
bgci-bioinformatics-data-developer.pdf,ok,Bioinformatics Database Developer,Not specified,Botanic Gardens Conservation International (BGCI),Not specified (likely UK-based; remote/hybrid/on-site not specified),Contract (1-year subcontracted Fixed Term Appointment),Tenders invited (no fixed salary stated),3+ years relevant work experience in bioinformatics,"Bachelor's degree in Computer Science, Information Systems, or equivalent",Not specified,Not specified (no dates present in document to estimate from),"The primary purpose of this role is to oversee improvements in BGCI's PlantSearch database, its integration with BGCI's other databases and the improvement of BGCI's web-based database user experience. We are looking for a Bioinformatics database developer to lead this process.","Co-ordinating outsourced database development, working closely with developers, BGCI project managers and budget holders. | Managing the development of an accessions level module for responsible and informed exchange of plant material for conservation and research. | Managing the development of PlantSearch 2, which incorporates a range of tools and improvements to the current PlantSearch database, including incorporation of a taxonomic standard, improved data contribution and request capabilities, a new climate resilience tool, a new propagations protocol tool, and integration and alignment with priority data including threat status and tree status. | Integration of elements of BGCI's other databases into PlantSearch. | Evaluating and testing new products and software applications under development. | Consulting with BGCI's database users | Developing and testing database user queries and entry points to optimize the user experience | Overseeing the improvement of BGCI's database web interfaces, including in-house and outsourced web design and programming. | Working closely with BGCI's technical teams, project managers and budget holders.","Technical experience with designing, building, installing, configuring, and supporting biological databases, including MySQL servers. Advanced SQL administration skills strongly preferred. | Website development expertise, including bioinformatics user interfaces, mobile applications, web services and web sites. | Versatile with a combination of database and systems skills. | Highly self-motivated, directed, with keen attention to detail. | Ability to work with BGCI staff to interpret needs and goals for technical implementation. | Ability to develop, retain, and interpret technical documentation for training and end-user procedures. | Ability to investigate and solve a wide range of computing issues as required. | Ability to effectively prioritize and execute tasks in a high-pressure environment. | Customer service-oriented individual with excellent oral and written communication skills, and the ability to effectively work in a team-oriented, collaborative environment. | Knowledge of trends in technology relating to database and software applications. | Knowledge of applicable data privacy practices and laws. | Bioinformatics project management experience preferred with experience in improving processes, systems integration, and adoption of technology platforms to achieve successful and sustainable outcomes. | Demonstrated experience with troubleshooting principles, methodologies, and issue resolution techniques.","Experience of working for a not for profit organisation | Knowledge of botanic gardens, nature conservation, zoos, museums or related disciplines ideally gained through direct personal experience | Front end and back end web development experience including but not limited to expertise in HTML/CSS, JavaScript/JQuery, version control/GIT, Laravel, Python, Node.js, PHP, and SQL. | Experience in different Content Management Systems including but not limited to WordPress. | Command of additional languages. | Knowledge of plant conservation approaches and methodologies | Knowledge of plant nomenclature and taxonomy strongly desired",Not specified,Not specified
bell-museum-coll-mgr-2022.pdf,ok,Zoological Collections Manager,Not specified,"University of Minnesota, Bell Museum","Twin Cities (St. Paul Campus), Minnesota, USA — on-site",Full-time,"$70,000 - $78,000","BA/BS plus at least eight years of experience, or master's degree plus at least six years of experience, or a terminal degree plus at least four years of experience","BA/BS minimum; master's degree or terminal degree preferred (Ph.D. preferred in zoology, systematics, evolution, ecology, or related fields)",Not specified,2024-10-15 (estimated from application review start date of October 15th stated in posting),"This position is responsible for the management, preservation, accessibility, and growth of the Bell Museum Zoological Collections at the University of Minnesota. The Zoological Collections Manager will oversee day-to-day operations of the core zoology collections of the Bell Museum, which include collections of mammals, birds, reptiles, amphibians, fishes, mollusks, crustaceans, and associated genetic resources. The Collection Manager will work closely with the zoology curators, and will be responsible for specimen preparation, documentation, and conservation, as well as database management, handling loan requests, overseeing visitors, and answering information requests. The Zoological Collections Manager will report to the Science Director and collaborate with the curators in charge of these respective collections to design and implement routine activities and long-term goals.","Maintain standard operating procedures for use and improvement of each zoology collection. | Arrange for proper storage of specimens, including use of appropriate archival materials, climate control, and pest management. | Coordinate the identification of specimens and updating of records taxonomically. | Process and maintain records of gifts, loans, permits, and information requests for research, classroom instruction, and exhibitions in accord with standard operating procedures. | Arrange for repairs of specimens, cabinets, equipment, and collections infrastructure. | Prepare, accession, catalog, and install new specimens. | Support activities of faculty curators in accomplishing projects and achieving goals for each zoology collection. | Facilitate use of collections in teaching, public engagement, and research. Possibly undertake fieldwork and research activities in the future but this position does not lead to a tenure-track appointment. | Maintain standard operating procedures for use and improvement of collections databases including the database of record (Arctos) and associated web portals including the Minnesota Biodiversity Atlas, iDigBio and GBIF. | Oversee quality control, improvements and expansions of specimen records in the collections databases. | Participate in museum digitization projects. | Coordinate maintenance and development of database infrastructure with the Arctos Working Group and other information technology specialists. | Train and supervise undergraduates, graduate students, curatorial assistants, museum staff, researchers and volunteers in curatorial procedures and best practices for working with specimens. | Train and support users of collections databases including curators, students, staff, researchers and volunteers in specimen digitization, data entry, editing and access. | Coordinate taxonomic expertise through species identification services and respond to information requests from researchers, agencies, and the public. | Participate in regional, national and international efforts to document and preserve biodiversity. | Facilitate visiting researchers' access to collections. | Support collections tours for internal and external groups with museum staff. | Promote visibility of the collections through public engagement opportunities including presentations, museum programs, exhibits, and events. | Write grants in support of collections and participate in developing budgets for collections. | Serve on relevant Bell Museum, College, and University committees. | Provide service as requested by the professional zoological community.","BA/BS plus at least eight years of experience, or master's degree plus at least six years of experience, or a terminal degree plus at least four years of experience. | Knowledge of zoological collection practices and procedures. | Experience with specimen digitization and relational database management. | High level of organization and attention to detail. | Demonstrated ability to work in teams. | Mentorship or supervisory experience.","Ph.D. Degree in zoology, systematics, evolution, ecology, or related fields. | At least one academic year of zoology collections curatorial experience. | Knowledge of animal taxonomy and nomenclature. | Familiarity with fauna of the Upper Midwest. | Prior experience with public engagement in science.",Not specified,"Competitive wages, paid holidays, and generous time off | Continuous learning opportunities through professional training and degree-seeking programs supported by the Regents Scholarship | Low-cost medical, dental, and pharmacy plans | Healthcare and dependent care flexible spending accounts | University HSA contributions | Disability and employer-paid life insurance | Employee wellbeing program | Excellent retirement plans with employer contribution | Public Service Loan Forgiveness (PSLF) opportunity | Financial counseling services | Employee Assistance Program with eight sessions of counseling at no cost | Flexible work environment | Work-life balance prioritized"
biodiversity-informatics-illinois-natural-history-survey.pdf,ok,Biodiversity Informatics Community Manager,Not specified,"Illinois Natural History Survey (INHS), Prairie Research Institute, University of Illinois at Urbana-Champaign","Champaign, Illinois, USA; on-site",Full-time,"$50,000 - $60,000, depending on qualifications and experience","Preferred: A minimum of 2 years of experience with communication between scientist and their collaborators. A minimum of 3 years' experience in a role as an on-line community manager, non-profit outreach coordinator, or similar.","Master's degree in Information Science, Communications, Biology, or related field. Alternate degree fields will be considered depending on the nature and depth of experience as it relates to this position.",2020-03-31,Not specified,"INHS is seeking a Biodiversity Informatics Community Manager (Official Title: Scientific Specialist, Biodiversity Informatics) who will research and develop programs to train users, and promote, organize, and catalyze both Species File Group (SFG) and external biodiversity informatics efforts in the context of local, national, and international biodiversity informatics collaborations. This position is located in Champaign, Illinois.","Provide training, outreach, development of help resources, gather user needs and feedback, moderate forums and manage communications | Compile, document, organize and relay the needs of biodiversity scientists to the relevant biodiversity informatics technical communities. | Guide biodiversity scientists migrating legacy data into modern tools and frameworks (both SFG and otherwise) | Organize and provide workshops and training. | Conduct on-site assessment of needs and effectiveness of tools. | Manages social and technical websites that promote communication between SFG members and their collaborators. | Acts as the SFG ombudsperson with respect to managing an inclusive and forward-thinking Developers/Community Code of Conduct | Research the needs of collaborating scientists and developers via in-situ and remote observation, polling, and interviewing. | Research and develop specific technical protocols or standard operating procedures addressing the needs of biodiversity scientists workflows | Present research findings at scientific meetings. | Perform other duties in order to further the mission and goals of the Survey, PRI, and the University of Illinois. | Keep abreast of developments in this discipline.","Demonstrated experience communicating ideas, workflows, and methods while listening to and documenting end-user needs. | Ability to asses, document and communicate the nature of a scientist's needs, goals and workflows to technical teams. | Creative efforts that have a demonstrable means of success. | Demonstrated commitment to open-source communities. | Relationship and application of script-based languages and their role in user-interface development. | Effective communication, personal relations, collaboration, organizational, teamwork, and leadership skills. | Demonstrated ability to perform effectively in a diverse and fast-paced work environment consisting of multiple and changing priorities with stringent deadlines, under minimal supervision. | Attention to detail, sound judgment, and strong conflict resolution skills. | Proficiency in commonly employed software and databases. | Major organizational structures and their roles within the field of biodiversity informatics (e.g. GBIF).","Coursework on one or more of the roles and application of data standards, engineering software for efficiency at scale, data archiving, science journalism, process engineering, or conflict resolution and mediation. | A minimum of 2 years of experience with communication between scientist and their collaborators. | A minimum of 3 years' experience in a role as an on-line community manager, non-profit outreach coordinator, or similar. | Demonstrated ability to manage online communities (forums, open-source repositories, issue trackers, social media, etc.) | Involvement in Software Carpentry, wiki-based, or related efforts. | Basic ability to manipulate data into more formalized structures (e.g. scripts, Open Refine, simple queries). | Portfolio of presentations at workshops, conferences, and scientific meetings. | Valid Driver's License.","Overnight travel will be necessary to fulfill the responsibilities of this position. | Must be willing to observe scientists in a laboratory setting. | The work of this position takes place in an office setting. | The work is sedentary and involves remaining in a stationary position for extended periods of time working at a computer, using a keyboard and mouse, and using repetitive hand motions.","Regular full-time academic professional appointment, renewable annually based upon satisfactory progress in the position and continued funding."
biodiversity-informatics-software-developer---yale-university.pdf,ok,Biodiversity Informatics Software Developer,Not specified,Yale University (Yale Peabody Museum),"New Haven, CT, USA; on-site (Central Campus, 170 Whitney Avenue)",Full-time,Not specified,Two years of related work experience (or equivalent combination of education and experience),Bachelor's Degree in a related field,Not specified,"2022-03-01 (estimated from 'Other Fixed Duration Date' of 01-Mar-2022, representing the end of the fixed 2-year appointment; posting date was 06-Feb-2020)","Reporting to the Head of Biodiversity Informatics and Data Science of the Yale Peabody Museum, the Biodiversity Informatics Software Developer will assist in the research and development of technologies for the digitization, mobilization, and analysis of information from natural history collections. Focal areas of research include multi-view imaging and analysis (including 3D reconstruction), mass digitization pipelines, retrospective georeferencing, and distributed specimen data annotation and tracking.","Develops programs or systems of small to moderate size and complexity. Modifies existing systems at all levels of difficulty. | Provides informational input into decisions concerning the development and delivery of applications, programs and systems. Defines and analyzes requirements to meet the expectations of stakeholders and intended end user needs, scheduled timeline, and budgetary targets. | Analyzes, defines and designs new systems and applications. Writes code in support of business solutions. | Responsible for the creation, definition, communication, and management of project plans which includes architectural design, technology selection and methodologies to apply. | Troubleshoots problems and provide ongoing maintenance and support for applications and systems. | Prepares documentation, user manuals and develops formal proposals for new systems and modifications to existing systems. Mentors technical staff and provide training for end users. | Contributes in the development of policies or modifications to exiting policies. | Applies and keeps current with existing and emerging technologies and methodologies. Provides ongoing input to the establishment of programming standards, procedures, and methodologies. | May perform other duties as assigned.","Working knowledge of biodiversity informatics best practices and data standards. | Working knowledge of 2D and 3D digitization technologies including photogrammetry and structured-light imaging. | Working knowledge of Geographic Information Systems, tools and web frameworks including Quantum GIS and Open Layers. | Demonstrated ability programming across diverse languages including C/C++, Python, C# and JavaScript and using GIT for source code versioning. | Demonstrated ability developing and interfacing with relational databases including PostgreSQL, SQLite and Microsoft SQL Server.","Master's degree in a field related to biodiversity informatics such as computer science, information and data science, geography, biological sciences or museum studies. | Working knowledge of machine learning, computer vision & natural language processing frameworks (e.g. Tensorflow, YOLO, OpenCV, BERT).",Not specified,Not specified
brit-curator-2022.pdf,ok,Assistant Curator,Not specified,The University of Texas at Austin,"Austin, TX, USA (on-site, UT Main Campus)",Full-time,"$45,000+ depending on qualifications",Two years curatorial experience working in a natural history collection OR two years experience working with natural history collection digitization (if Bachelor's Degree only),"Master's Degree in plant biology or museum science, or equivalent professional experience (Bachelor's Degree plus either two years curatorial experience working in a natural history collection or two years experience working with natural history collection digitization)",Not specified,"2022-04-15 (estimated from earliest start date of Apr 15, 2022 and posting date of ~Feb 28, 2022 based on '25 Days Ago' note on Mar 25, 2022)",To assist the Curator in the operations of the Plant Resources Center.,"Oversee all specimen loan processing that is requested from other institutions and loans requested by faculty, students, and staff of The University of Texas at Austin, maintain all related records (current and retroactive), and answer all related queries. | Manage in the general taxonomic and archival curation of all collections. | Participate in the training and supervision of student workers as necessary. | Undertake specific collections improvements, specimen flow, digitization or outreach projects as deemed necessary by the Curator, Associate Director or Director. | Participate in outreach and education activities, which may include staffing a booth at campus activities, tours of the facilities for visitors, or interacting with university classes using the facilities. | Oversee the daily operations of the Plant Resources Center when the Curator is absent. | Participate as needed in generation of reports for the University and other entities.","Master's Degree in plant biology or museum science, or equivalent professional experience (Bachelor's Degree plus either two years curatorial experience working in a natural history collection or two years experience working with natural history collection digitization) | Experience with Microsoft Office, especially spreadsheets and databases","Detail oriented, well-organized, and capable of independent work | Experience with web site maintenance | Experience with museum collections digitization | Demonstrated expertise in the flora of Texas and/or Mexico",May work around chemical fumes. | May work in standard office conditions. | Repetitive use of a keyboard and mouse at a workstation. | Use of manual dexterity. | Climbing of stairs. | Lifting and moving boxes up to 40 lbs.,Retirement plan: Teacher Retirement System of Texas (TRS) | Flexible work schedule (40 hours/week with negotiable hours/days) | Equal opportunity/affirmative action employer
